  COD;Artista;Título;OBS:;Gravadora;Formato;Condição;Valor Venda;gênero;ano;texto;tracklist;Imagens
1;Beatles, the;Hey Jude!;;Apple;LP;VG+/VG;55;rock;1970;"Uma das coletâneas que fazem parte da discografia oficial da banda, lançado no ano de dissolução do quarteto de Liverpool. Destaque pra ""Ballad of John and Yoko"", até então um single.";"A1 Can't buy me love </br>
A2 I shoul have known better</br>
A3 Paperback writer</br>
A4 Rain </br>
A5 Lady madonna</br>
A6 Revolution</br>
B1 Hey Jude</br>
B2 Old brown shoe</br>
B3 Don't let me down</br>
B4 The ballad of John and Yoko";1.jpg
2;Blind Faith;Blind Faith;;Polydor;LP;VG/VG ;60;rock;1968;"nico disco da banda inglesa, que contava com Eric Clapton e Ginger Baker do Cream, e Steve Winwood e Rick Grech do Traffic. ótimo disco! Destaque para ""Can't find my way home"", também gravada por Gilberto Gil em seu disco de 1971, e  a psicodélica ""Do what you like"", de Baker, que depois integraria a banda de Fela Kuti.";"A1 Had to cry today
A2 Can't find my way home
A3 Well all right
A4 Presence of the Lord
B1 Sea of joy
B2 Do what you like";2.jpg
3;Carlos Santana e Buddy Miles;Live!;;CBS;LP;VG/VG+;50;rock;1972;"Junção de dois monstros da música, e o resultado não podia ser melhor! Check ""Evil Ways""e ""Them Changes""";"A1 Marbles
A2 Lava
A3 Evil ways
A4 Faith interlude
A5 Them changes
B1 Free form funkafide filth";3.jpg
4;Cream;Goodbye Cream;imp Espanha;RSO;LP;VG+/VG+;80;rock;1969;"Disco da ótima banda de Eric Clapton, Ginger Baker e Jack Bruce, em 1969, misturando faixas gravadas ao vivo com músicas feitas no estúdio. Destaque pra ""I'm so glad"" e ""Sitting on the top of the world"".";"A1 I'm so glad
A2 Politician
B1 Sitting on the top of the world
B2 Badge
B3 Doing that scrapyard
B4 What a bringdown";4.jpg
5;David Bowie;Lodger;original inglês;RCA;LP;VG/VG+;70;rock;1979;"Disco que encerra a famosa trilogia de Berlim, depois de ""Heroes"" e ""Low"", numa época que morava com Iggy Pop e Brian Eno, que assina metade das músicas com Bowie. Destaque para as faixas ""Yassassin"" e ""DJ"".";"A1 Fantastic voyage
A2 African night flight
A3 Move on
A4 Yassassin
A5 Red sails
B1 D.J.
B2 Look back in anger
B3 Boys keep swinging
B4 Repetition 
B5 Red money";5.jpg
6;Deep Purple;Burn;;Purple ;LP;VG+/VG+;50;rock;1974;"Deep Purple com David Coverdale nos vocais, ótimo disco! Ouça ""Burn""e ""Mistreated""!";"A1 Burn
A2 Might just take your life
A3 Lay down, stay down
A4 Sail away
B1 You fool no one
B2 what's going on here
B3 Mistreated
B4 ""A"" 200";6.jpg
7;Frank Zappa;Sleep Dirt;imp Alemanha;Diskreet;LP;VG+/VG+;60;rock;1979;"Do mesmo ano do pop ""Sheik Yerbouti"", mas bem mais experimental. Com ""Regyptian Strut"".";"A1 Filthy habits
A2 Flambay
A3 Spider of destiny
A4 Regyption Strut
B1 Time is Money
B2 Sleep dirt
B3 The ocean is the ultimate solution";7.jpg
8;Frank Zappa;Metal man has hornet's wings;original imp;Modern Jazz ;LP;VG+/VG+;120;rock;1976;"Um dos muitos bootlegs que FZ colocou na discografia oficial no fim da vida. Nesse, o auxilio luxuoso do multiinstrumentista Captain Beefheart! Destaque pra maravilhosa ""Inca Roads"".";"A1 Metal man has hornet's wings
A2 Inca roads
A3 Story of electricity *
A4 Unconditionally guaranteed
A5 Gone behind the sun
A6 Mondo Hollywood
A7 Lightning rod man
A8 My guitar wants to kill your mama
B1 Rock around the clock
B2 Sandwich song
B3 How could I be such a fool
B4 Boogie for berkeley
B5 Neon meat dream of an Octafish
B6 King kong
B7 Speed freak boogie";8.jpg
9;Jeff Beck;Truth;original americano;Epic;LP;VG+/VG+;70;rock;1968;"Primeiro disco solo de Jeff Beck, depois de sua participação nos Yardbyrds. Conta com Rod Stewart nos vocais, em algumas de suas melhores gravações. Ouça ""Shapes of things"" e ""Morning Dew"".";"A1 Shapes of things
A2 Let me love you
A3 Morning dew
A4 You shook me
A5 Ol' man river
B1 Greensleeves
B2 Rock my plimsoul
B3 Beck's bolero
B4 Blues de luxe
B5 I ain't superstitious";9.jpg
10;Jethro Tull;Thick as a brick;Original imp;Chrysalis;LP com capa especial;VG+/VG+;90;rock;1972;Original, com a capa jornal! Destaque para a faixa título, 20 minutos que contam uma história!;"A1 Thick as a brick
B1 Thick as a brick";10.jpg
